Date,Open,High,Low,Close
2021-09-08T12:05:00+0530,525,531.1,521.6,526.45
2021-09-08T12:06:00+0530,526.45,537,520.85,526.05
2021-09-08T12:07:00+0530,526.05,526.05,516,517.6
2021-09-08T12:08:00+0530,515.2,517.6,512.4,517.3
2021-09-08T12:09:00+0530,517.3,518.1,511.5,514.45
2021-09-08T12:10:00+0530,514.45,518,508.05,512.35
2021-09-08T12:11:00+0530,512.35,515.45,511.65,512.55
2021-09-08T12:12:00+0530,512.55,516.45,511.65,516.45
2021-09-08T12:13:00+0530,516.45,518.25,514.25,516.25
2021-09-08T12:14:00+0530,516.25,524.65,513.2,524.65
2021-09-08T12:15:00+0530,523.45,528.85,519.2,523.1
2021-09-08T12:16:00+0530,523.1,523.5,507,516.8
2021-09-08T12:17:00+0530,518,518,513.45,513.45
2021-09-08T12:18:00+0530,513.45,513.45,497.8,503.2
2021-09-08T12:19:00+0530,502.2,502.8,494.5,495
2021-09-08T12:20:00+0530,490,490.5,484.75,484.75
2021-09-08T12:21:00+0530,483.05,485.95,475.8,477.75
2021-09-08T12:22:00+0530,477.75,484,477.75,481.4
2021-09-08T12:23:00+0530,481.4,481.4,467.85,472.8
2021-09-08T12:24:00+0530,472.8,472.8,454.85,462.25
2021-09-08T12:25:00+0530,462.25,480.95,455.6,479.1
2021-09-08T12:26:00+0530,479.1,479.1,468.15,471.95
2021-09-08T12:27:00+0530,471.95,480.65,471.95,480.65
2021-09-08T12:28:00+0530,480.3,480.65,472.75,474.35
2021-09-08T12:29:00+0530,474.35,478.5,466.25,466.25
2021-09-08T12:30:00+0530,466.25,466.25,440.4,442.45
2021-09-08T12:31:00+0530,442.45,450.05,436.75,445.6
2021-09-08T12:32:00+0530,445.6,451.45,444.7,449.55
2021-09-08T12:33:00+0530,451.3,454.55,442.8,442.8
2021-09-08T12:34:00+0530,442.8,445.75,435,444.7
2021-09-08T12:35:00+0530,444.7,444.7,433.45,441.85
2021-09-08T12:36:00+0530,443.45,443.45,432.05,440
2021-09-08T12:37:00+0530,440,456.95,440,440.75
2021-09-08T12:38:00+0530,440.75,443.65,433.35,443.65
2021-09-08T12:39:00+0530,443.65,446.65,436.2,439.1
2021-09-08T12:40:00+0530,439.1,451.5,434.85,444.55
2021-09-08T12:41:00+0530,444.55,444.55,435.05,437.1
2021-09-08T12:42:00+0530,437.1,459.15,437.1,457.8
2021-09-08T12:43:00+0530,457.55,464.15,453.35,458.7
2021-09-08T12:44:00+0530,458.7,458.7,443.55,443.55
2021-09-08T12:45:00+0530,441.85,451.05,434.7,449.5
2021-09-08T12:46:00+0530,449.5,456.5,447.15,456.5
2021-09-08T12:47:00+0530,456.5,462,456,462
2021-09-08T12:48:00+0530,462,462,456,457.2
2021-09-08T12:49:00+0530,457.2,463.35,457.2,460.6
2021-09-08T12:50:00+0530,460.6,467.85,456.5,456.5
2021-09-08T12:51:00+0530,456.5,458.7,445,456.1
2021-09-08T12:52:00+0530,456.1,463,452.25,463
2021-09-08T12:53:00+0530,463,463.4,455.15,457.05
2021-09-08T12:54:00+0530,457.05,465.05,456.45,463.35
2021-09-08T12:55:00+0530,463.35,463.35,456.2,457.8
2021-09-08T12:56:00+0530,457.8,457.8,447.55,450.4
2021-09-08T12:57:00+0530,451.1,451.1,445.15,446
2021-09-08T12:58:00+0530,446,450.9,445,449.05
2021-09-08T12:59:00+0530,449.9,450.85,439.3,439.6
2021-09-08T13:00:00+0530,439.6,448.25,438.65,444.15
2021-09-08T13:01:00+0530,444.15,444.15,423.85,429.25
2021-09-08T13:02:00+0530,429.8,429.8,410.05,415.25
2021-09-08T13:03:00+0530,415.7,420.5,408.1,418.4
2021-09-08T13:04:00+0530,418.4,419,397,400
2021-09-08T13:05:00+0530,400,414.6,390,412.5
2021-09-08T13:06:00+0530,410.2,416.25,404.25,405.8
2021-09-08T13:07:00+0530,404.7,404.7,387,391.7
2021-09-08T13:08:00+0530,391.7,400.35,385.2,398.15
2021-09-08T13:09:00+0530,398.15,404.05,388.05,392
2021-09-08T13:10:00+0530,392,396.8,380.6,380.6
2021-09-08T13:11:00+0530,380.6,381,369.6,373.6
2021-09-08T13:12:00+0530,374.95,381.75,367.85,378.8
2021-09-08T13:13:00+0530,382.65,390.1,379.05,390.1
2021-09-08T13:14:00+0530,390.95,391,381.8,387.05
2021-09-08T13:15:00+0530,387.15,401.3,385.8,401.3
2021-09-08T13:16:00+0530,400.55,403.7,390,401
2021-09-08T13:17:00+0530,401.5,409.85,400.85,406.75
2021-09-08T13:18:00+0530,406.75,409.95,402.65,405.15
2021-09-08T13:19:00+0530,402.7,409,399.35,409
2021-09-08T13:20:00+0530,408.9,413.25,402.4,405
2021-09-08T13:21:00+0530,405,416,405,412.8
2021-09-08T13:22:00+0530,411.4,414.05,407.8,411.25
2021-09-08T13:23:00+0530,411.25,413.85,408,410.9
2021-09-08T13:24:00+0530,411,415,410,411.6
2021-09-08T13:25:00+0530,411.6,412.1,400,401.9
